movieId,title,genres,year,rated,runtime,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes
1238,Local Hero,Comedy,1983,PG,111 min,Bill Forsyth,Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.,English|Japanese|Russian,UK,Won 1 BAFTA Film Award. Another 3 wins & 6 nominations.,7.4,18408.0
858,The Godfather,Crime|Drama,1972,R,175 min,Francis Ford Coppola,Francis Ford Coppola (screenplay by)|Mario Puzo (based on the novel by)|Mario Puzo (screenplay by),"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,English|Italian|Latin,USA,Won 3 Oscars. Another 24 wins & 28 nominations.,9.2,1408749.0
1270,Back to the Future,Adventure|Comedy|Sci-Fi,1985,PG,116 min,Robert Zemeckis,Bob Gale|Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",English,USA,Won 1 Oscar. Another 19 wins & 25 nominations.,8.5,911581.0
1265,Groundhog Day,Comedy|Fantasy|Romance,1993,PG,101 min,Harold Ramis,Danny Rubin (screenplay)|Danny Rubin (story)|Harold Ramis (screenplay),"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",A weatherman finds himself inexplicably living the same day over and over again.,English|French|Italian,USA,Won 1 BAFTA Film Award. Another 6 wins & 17 nominations.,8.0,533490.0
2488,Peeping Tom,Drama|Horror|Thriller,1960,NOT RATED,101 min,Michael Powell,Leo Marks (original story)|Leo Marks (screenplay),"Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley","A young man murders women, using a movie camera to film their dying expressions of terror.",English,UK,N/A,7.7,26488.0
898,The Philadelphia Story,Comedy|Drama|Romance,1940,NOT RATED,112 min,George Cukor,Donald Ogden Stewart (screen play)|Philip Barry (based on the play by),"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",English|French,USA,Won 2 Oscars. Another 3 wins & 5 nominations.,8.0,57268.0
2247,Married to the Mob,Comedy,1988,R,104 min,Jonathan Demme,Barry Strugatz|Mark R. Burns,"Paul Lazar, Alec Baldwin, Captain Haggerty, Marlene Willoughby","An undercover FBI agent falls in love with a recently widowed mafia wife, who is trying to restart her life following her husband's murder while being pursued by a libidinous mafia kingpin seeking to claim her for himself.",English,USA,Nominated for 1 Oscar. Another 6 wins & 4 nominations.,6.1,14424.0
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994,R,154 min,Quentin Tarantino,Quentin Tarantino|Quentin Tarantino (stories)|Roger Avary (stories),"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",English|French|Spanish,USA,Won 1 Oscar. Another 62 wins & 69 nominations.,8.9,1602423.0
1016,The Shaggy Dog,Children|Comedy,1959,APPROVED,104 min,Charles Barton,Bill Walsh (screenplay)|Felix Salten (novel)|Lillie Hayward (screenplay),"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello",A teenage boy is cursed with periodically turning into an sheepdog.,English,USA,1 win & 1 nomination.,6.5,3658.0
1212,The Third Man,Film-Noir|Mystery|Thriller,1949,NOT RATED,93 min,Carol Reed,Graham Greene (by)|Graham Greene (screen play),"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",English|German|Russian,UK,Won 1 Oscar. Another 4 wins & 4 nominations.,8.2,141070.0
950,The Thin Man,Comedy|Crime,1934,NOT RATED,91 min,W.S. Van Dyke,Albert Hackett (screen play)|Dashiell Hammett (from the novel by)|Frances Goodrich (screen play),"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",English,USA,Nominated for 4 Oscars. Another 3 wins.,8.1,23834.0
1198,Raiders of the Lost Ark,Action|Adventure,1981,PG,115 min,Steven Spielberg,George Lucas (story by)|Lawrence Kasdan (screenplay by)|Philip Kaufman (story by),"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Arabic|English|German|Hebrew|Nepali|Spanish,USA,Won 4 Oscars. Another 30 wins & 23 nominations.,8.5,793034.0
1344,Cape Fear,Crime|Drama|Thriller,1962,NOT RATED,106 min,J. Lee Thompson,James R. Webb (screenplay)|John D. MacDonald (novel),"Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin",A lawyer's family is stalked by a man he once helped put in jail.,English,USA,N/A,7.8,23497.0
3152,The Last Picture Show,Drama,1971,R,118 min,Peter Bogdanovich,Larry McMurtry (novel)|Larry McMurtry (screenplay)|Peter Bogdanovich (screenplay),"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",English,USA,Won 2 Oscars. Another 16 wins & 22 nominations.,8.1,37027.0
3008,Last Night,Drama|Sci-Fi,1998,R,95 min,Don McKellar,Don McKellar,"Don McKellar, Sandra Oh, Roberta Maxwell, Robin Gammell",A group of very different individuals with different ideas of how to face the end come together as the world is expected to end in six hours at the turn of the century.,English|French,Canada|France,12 wins & 22 nominations.,7.2,8753.0
28,Persuasion,Drama|Romance,1995,PG,107 min,Roger Michell,Jane Austen (novel)|Nick Dear (screenplay),"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",English,France|UK|USA,7 wins & 2 nominations.,7.7,8758.0
497,Much Ado About Nothing,Comedy|Romance,1993,PG-13,111 min,Kenneth Branagh,Kenneth Branagh (adaptation)|William Shakespeare (play),"Richard Briers, Kate Beckinsale, Imelda Staunton, Jimmy Yuill","Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",English,UK|USA,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,7.4,41718.0
1296,A Room with a View,Drama|Romance,1985,NOT RATED,117 min,James Ivory,E.M. Forster (novel)|Ruth Prawer Jhabvala (screenplay),"Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands","When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting...",English|Italian,UK,Won 3 Oscars. Another 21 wins & 23 nominations.,7.4,35154.0
